Región,Comuna,Provincia
RM,Alhué,Melipilla
RM,Cerro Navia,Santiago
RM,Conchalí,Santiago
RM,Curacaví,Melipilla
RM,El Bosque,Santiago
RM,El Monte,Talagante
RM,La Pintana,Santiago
RM,Lo Espejo,Santiago
RM,Lo Prado,Santiago
RM,María Pinto,Melipilla
RM,Melipilla,Melipilla
RM,Padre Hurtado,Talagante
RM,Paine,Maipo
RM,Pedro Aguirre Cerda,Santiago
RM,Pirque,Cordillera
RM,Puente Alto,Cordillera
RM,Renca,Santiago
RM,San Bernardo,Maipo
RM,San José de Maipo,Cordillera
RM,San Pedro,Melipilla
RM,San Ramón,Santiago
RM,Tiltil,Chacabuco